filename,width,height,class,xmin,ymin,xmax,ymax
168.jpeg,64,64,MouthFatigue,1,5,63,58
168.jpeg,64,32,RightEyeFatigue,5,8,52,29
168.jpeg,64,32,Non-LeftEyeFatigue,3,2,61,32
168.jpeg,64,64,Non-MouthFatigue,1,6,64,50
168.jpeg,64,32,Non-RightEyeFatigue,3,4,57,30
168.jpeg,64,32,LeftEyeFatigue,4,5,54,29
169.jpeg,64,64,MouthFatigue,1,4,63,53
169.jpeg,64,32,RightEyeFatigue,7,5,61,26
169.jpeg,64,32,Non-LeftEyeFatigue,5,2,58,32
169.jpeg,64,64,Non-MouthFatigue,1,8,64,52
169.jpeg,64,32,Non-RightEyeFatigue,5,4,57,32
169.jpeg,64,32,LeftEyeFatigue,7,6,64,29
17.jpeg,64,64,MouthFatigue,1,5,63,52
17.jpeg,64,32,RightEyeFatigue,7,9,61,32
17.jpeg,64,32,Non-LeftEyeFatigue,10,3,61,31
17.jpeg,64,64,Non-MouthFatigue,1,4,64,43
17.jpeg,64,32,Non-RightEyeFatigue,9,6,54,32
17.jpeg,64,32,LeftEyeFatigue,4,6,57,30
170.jpeg,64,64,MouthFatigue,1,6,64,53
170.jpeg,64,32,RightEyeFatigue,3,5,49,28
170.jpeg,64,32,Non-LeftEyeFatigue,5,3,58,32
170.jpeg,64,64,Non-MouthFatigue,1,4,64,53
170.jpeg,64,32,Non-RightEyeFatigue,9,5,60,32
170.jpeg,64,32,LeftEyeFatigue,2,4,58,27
171.jpeg,64,64,MouthFatigue,1,7,64,51
171.jpeg,64,32,RightEyeFatigue,5,3,64,27
171.jpeg,64,32,Non-LeftEyeFatigue,6,4,57,31
171.jpeg,64,64,Non-MouthFatigue,1,4,64,52
171.jpeg,64,32,Non-RightEyeFatigue,6,3,56,32
171.jpeg,64,32,LeftEyeFatigue,9,5,64,28
172.jpeg,64,64,MouthFatigue,1,7,64,52
172.jpeg,64,32,RightEyeFatigue,2,7,55,29
172.jpeg,64,32,Non-LeftEyeFatigue,6,3,59,32
172.jpeg,64,64,Non-MouthFatigue,1,3,64,50
172.jpeg,64,32,Non-RightEyeFatigue,6,3,61,29
172.jpeg,64,32,LeftEyeFatigue,1,4,58,28
173.jpeg,64,64,MouthFatigue,1,7,64,47
173.jpeg,64,32,RightEyeFatigue,3,5,64,27
173.jpeg,64,32,Non-LeftEyeFatigue,4,4,57,32
173.jpeg,64,64,Non-MouthFatigue,1,4,64,47
173.jpeg,64,32,Non-RightEyeFatigue,5,4,63,32
173.jpeg,64,32,LeftEyeFatigue,9,3,64,27
174.jpeg,64,64,MouthFatigue,1,6,64,48
174.jpeg,64,32,RightEyeFatigue,3,3,49,28
174.jpeg,64,32,Non-LeftEyeFatigue,5,4,58,32
174.jpeg,64,64,Non-MouthFatigue,1,4,63,49
174.jpeg,64,32,Non-RightEyeFatigue,7,4,64,31
174.jpeg,64,32,LeftEyeFatigue,2,3,57,24
175.jpeg,64,64,MouthFatigue,1,7,64,49
175.jpeg,64,32,RightEyeFatigue,5,1,64,22
175.jpeg,64,32,Non-LeftEyeFatigue,5,4,58,32
175.jpeg,64,64,Non-MouthFatigue,1,5,64,51
175.jpeg,64,32,Non-RightEyeFatigue,5,4,59,29
175.jpeg,64,32,LeftEyeFatigue,5,4,64,24
176.jpeg,64,64,MouthFatigue,1,7,64,47
176.jpeg,64,32,RightEyeFatigue,3,3,57,26
176.jpeg,64,32,Non-LeftEyeFatigue,5,4,59,31
176.jpeg,64,64,Non-MouthFatigue,1,4,64,48
176.jpeg,64,32,Non-RightEyeFatigue,7,3,58,28
176.jpeg,64,32,LeftEyeFatigue,2,3,59,25
177.jpeg,64,64,MouthFatigue,1,8,64,47
177.jpeg,64,32,RightEyeFatigue,11,3,64,23
177.jpeg,64,32,Non-LeftEyeFatigue,4,4,61,30
177.jpeg,64,64,Non-MouthFatigue,1,3,63,47
177.jpeg,64,32,Non-RightEyeFatigue,6,5,60,31
177.jpeg,64,32,LeftEyeFatigue,11,3,64,25
178.jpeg,64,64,MouthFatigue,1,8,64,47
178.jpeg,64,32,RightEyeFatigue,1,1,59,24
178.jpeg,64,32,Non-LeftEyeFatigue,4,4,59,32
178.jpeg,64,64,Non-MouthFatigue,1,4,64,49
178.jpeg,64,32,Non-RightEyeFatigue,8,2,56,29
178.jpeg,64,32,LeftEyeFatigue,1,2,56,24
179.jpeg,64,64,MouthFatigue,1,8,63,46
179.jpeg,64,32,RightEyeFatigue,10,2,64,23
179.jpeg,64,32,Non-LeftEyeFatigue,4,3,59,31
179.jpeg,64,64,Non-MouthFatigue,1,3,64,50
179.jpeg,64,32,Non-RightEyeFatigue,4,5,61,30
179.jpeg,64,32,LeftEyeFatigue,8,1,64,26
18.jpeg,64,64,MouthFatigue,1,3,64,50
18.jpeg,64,32,RightEyeFatigue,8,7,60,32
18.jpeg,64,32,Non-LeftEyeFatigue,10,1,57,31
18.jpeg,64,64,Non-MouthFatigue,1,4,64,46
18.jpeg,64,32,Non-RightEyeFatigue,11,8,57,30
18.jpeg,64,32,LeftEyeFatigue,5,4,58,32
180.jpeg,64,64,MouthFatigue,1,3,64,54
180.jpeg,64,32,RightEyeFatigue,1,4,59,29
180.jpeg,64,32,Non-LeftEyeFatigue,8,3,59,32
180.jpeg,64,64,Non-MouthFatigue,1,3,64,49
180.jpeg,64,32,Non-RightEyeFatigue,6,4,63,31
180.jpeg,64,32,LeftEyeFatigue,2,4,59,29
181.jpeg,64,64,MouthFatigue,1,7,64,53
181.jpeg,64,32,RightEyeFatigue,9,3,64,27
181.jpeg,64,32,Non-LeftEyeFatigue,4,4,57,32
181.jpeg,64,64,Non-MouthFatigue,1,2,64,50
181.jpeg,64,32,Non-RightEyeFatigue,6,5,61,32
181.jpeg,64,32,LeftEyeFatigue,10,4,64,31
182.jpeg,64,64,MouthFatigue,1,4,64,50
182.jpeg,64,32,RightEyeFatigue,4,6,50,31
182.jpeg,64,32,Non-LeftEyeFatigue,6,2,58,32
182.jpeg,64,64,Non-MouthFatigue,1,5,64,48
182.jpeg,64,32,Non-RightEyeFatigue,5,3,59,29
182.jpeg,64,32,LeftEyeFatigue,1,3,56,30
183.jpeg,64,64,MouthFatigue,1,7,64,56
183.jpeg,64,32,RightEyeFatigue,9,4,64,29
183.jpeg,64,32,Non-LeftEyeFatigue,3,2,59,29
183.jpeg,64,64,Non-MouthFatigue,1,5,64,48
183.jpeg,64,32,Non-RightEyeFatigue,4,4,61,30
183.jpeg,64,32,LeftEyeFatigue,9,6,64,28
184.jpeg,64,64,MouthFatigue,1,6,64,52
184.jpeg,64,32,RightEyeFatigue,4,7,50,29
184.jpeg,64,32,Non-LeftEyeFatigue,9,2,59,31
184.jpeg,64,64,Non-MouthFatigue,1,2,64,52
184.jpeg,64,32,Non-RightEyeFatigue,5,4,63,32
184.jpeg,64,32,LeftEyeFatigue,1,3,59,28
185.jpeg,64,64,MouthFatigue,1,5,64,44
185.jpeg,64,32,RightEyeFatigue,7,2,62,28
185.jpeg,64,32,Non-LeftEyeFatigue,5,5,60,32
185.jpeg,64,64,Non-MouthFatigue,1,3,64,52
185.jpeg,64,32,Non-RightEyeFatigue,7,3,58,32
185.jpeg,64,32,LeftEyeFatigue,9,5,64,24
186.jpeg,64,64,MouthFatigue,1,5,64,55
186.jpeg,64,32,RightEyeFatigue,4,8,54,32
186.jpeg,64,32,Non-LeftEyeFatigue,5,5,61,32
186.jpeg,64,64,Non-MouthFatigue,1,4,64,51
186.jpeg,64,32,Non-RightEyeFatigue,8,4,59,31
186.jpeg,64,32,LeftEyeFatigue,9,1,57,32
187.jpeg,64,64,MouthFatigue,1,4,64,54
187.jpeg,64,32,RightEyeFatigue,6,4,55,32
187.jpeg,64,32,Non-LeftEyeFatigue,4,5,58,32
187.jpeg,64,64,Non-MouthFatigue,1,3,64,53
187.jpeg,64,32,Non-RightEyeFatigue,6,4,57,32
187.jpeg,64,32,LeftEyeFatigue,8,5,64,31
188.jpeg,64,64,MouthFatigue,1,5,64,53
188.jpeg,64,32,RightEyeFatigue,3,10,54,31
188.jpeg,64,32,Non-LeftEyeFatigue,5,4,59,32
188.jpeg,64,64,Non-MouthFatigue,1,3,64,52
188.jpeg,64,32,Non-RightEyeFatigue,9,6,60,32
188.jpeg,64,32,LeftEyeFatigue,6,5,64,29
189.jpeg,64,64,MouthFatigue,1,3,64,50
189.jpeg,64,32,RightEyeFatigue,7,6,62,32
189.jpeg,64,32,Non-LeftEyeFatigue,3,4,59,32
189.jpeg,64,64,Non-MouthFatigue,1,5,64,52
189.jpeg,64,32,Non-RightEyeFatigue,6,4,59,32
189.jpeg,64,32,LeftEyeFatigue,12,6,64,31
19.jpeg,64,64,MouthFatigue,1,4,64,46
19.jpeg,64,32,RightEyeFatigue,5,6,59,32
19.jpeg,64,32,Non-LeftEyeFatigue,6,1,56,32
19.jpeg,64,64,Non-MouthFatigue,1,4,64,49
19.jpeg,64,32,Non-RightEyeFatigue,8,7,58,31
19.jpeg,64,32,LeftEyeFatigue,2,4,55,31
190.jpeg,64,64,MouthFatigue,1,4,63,45
190.jpeg,64,32,RightEyeFatigue,3,6,57,32
190.jpeg,64,32,Non-LeftEyeFatigue,5,4,61,32
190.jpeg,64,64,Non-MouthFatigue,1,5,64,48
190.jpeg,64,32,Non-RightEyeFatigue,7,4,60,28
190.jpeg,64,32,LeftEyeFatigue,3,3,58,32
191.jpeg,64,64,MouthFatigue,1,4,64,47
191.jpeg,64,32,RightEyeFatigue,7,6,62,30
191.jpeg,64,32,Non-LeftEyeFatigue,5,3,58,32
191.jpeg,64,64,Non-MouthFatigue,1,4,64,47
191.jpeg,64,32,Non-RightEyeFatigue,7,4,57,32
191.jpeg,64,32,LeftEyeFatigue,7,4,64,31
192.jpeg,64,64,MouthFatigue,1,4,64,45
192.jpeg,64,32,RightEyeFatigue,1,2,57,32
192.jpeg,64,32,Non-LeftEyeFatigue,3,2,60,32
192.jpeg,64,64,Non-MouthFatigue,1,5,64,49
192.jpeg,64,32,Non-RightEyeFatigue,8,3,64,30
192.jpeg,64,32,LeftEyeFatigue,6,2,61,32
193.jpeg,64,64,MouthFatigue,1,7,64,43
193.jpeg,64,32,RightEyeFatigue,10,4,58,32
193.jpeg,64,32,Non-LeftEyeFatigue,4,3,59,32
193.jpeg,64,64,Non-MouthFatigue,1,4,64,48
193.jpeg,64,32,Non-RightEyeFatigue,7,4,61,32
193.jpeg,64,32,LeftEyeFatigue,6,3,64,29
194.jpeg,64,64,MouthFatigue,1,6,64,46
194.jpeg,64,32,RightEyeFatigue,2,4,62,31
194.jpeg,64,32,Non-LeftEyeFatigue,4,2,59,32
194.jpeg,64,64,Non-MouthFatigue,1,3,64,48
194.jpeg,64,32,Non-RightEyeFatigue,8,2,58,32
194.jpeg,64,32,LeftEyeFatigue,9,6,56,28
195.jpeg,64,64,MouthFatigue,1,7,64,47
195.jpeg,64,32,RightEyeFatigue,5,3,58,32
195.jpeg,64,32,Non-LeftEyeFatigue,5,4,58,29
195.jpeg,64,64,Non-MouthFatigue,1,3,64,49
195.jpeg,64,32,Non-RightEyeFatigue,5,4,60,32
195.jpeg,64,32,LeftEyeFatigue,5,5,61,30
196.jpeg,64,64,MouthFatigue,1,6,64,48
196.jpeg,64,32,RightEyeFatigue,2,5,63,32
196.jpeg,64,32,Non-LeftEyeFatigue,5,5,58,32
196.jpeg,64,64,Non-MouthFatigue,1,5,64,46
196.jpeg,64,32,Non-RightEyeFatigue,7,4,64,31
196.jpeg,64,32,LeftEyeFatigue,4,6,58,28
197.jpeg,64,64,MouthFatigue,1,7,64,48
197.jpeg,64,32,RightEyeFatigue,3,4,63,32
197.jpeg,64,32,Non-LeftEyeFatigue,5,5,59,31
197.jpeg,64,64,Non-MouthFatigue,1,5,64,48
197.jpeg,64,32,Non-RightEyeFatigue,5,4,61,31
197.jpeg,64,32,LeftEyeFatigue,5,3,63,27
198.jpeg,64,64,MouthFatigue,1,5,64,43
198.jpeg,64,32,RightEyeFatigue,2,4,59,31
198.jpeg,64,32,Non-LeftEyeFatigue,5,4,57,32
198.jpeg,64,64,Non-MouthFatigue,1,3,64,49
198.jpeg,64,32,Non-RightEyeFatigue,7,5,61,31
198.jpeg,64,32,LeftEyeFatigue,2,5,58,30
199.jpeg,64,64,MouthFatigue,1,8,64,43
199.jpeg,64,32,RightEyeFatigue,4,5,57,28
199.jpeg,64,32,Non-LeftEyeFatigue,4,6,59,31
199.jpeg,64,64,Non-MouthFatigue,1,4,64,47
199.jpeg,64,32,Non-RightEyeFatigue,4,6,60,31
199.jpeg,64,32,LeftEyeFatigue,11,6,64,28
2.jpeg,64,64,MouthFatigue,1,5,64,54
2.jpeg,64,32,RightEyeFatigue,9,8,59,31
2.jpeg,64,32,Non-LeftEyeFatigue,6,5,57,32
2.jpeg,64,64,Non-MouthFatigue,1,3,64,47
2.jpeg,64,32,Non-RightEyeFatigue,7,7,58,32
2.jpeg,64,32,LeftEyeFatigue,9,5,56,29
20.jpeg,64,64,MouthFatigue,1,3,64,47
20.jpeg,64,32,RightEyeFatigue,9,7,61,32
20.jpeg,64,32,Non-LeftEyeFatigue,9,2,58,32
20.jpeg,64,64,Non-MouthFatigue,1,5,64,45
20.jpeg,64,32,Non-RightEyeFatigue,8,7,55,30
20.jpeg,64,32,LeftEyeFatigue,8,5,57,29
200.jpeg,64,64,MouthFatigue,1,6,64,61
200.jpeg,64,32,RightEyeFatigue,8,3,59,27
200.jpeg,64,32,Non-LeftEyeFatigue,6,5,59,32
200.jpeg,64,64,Non-MouthFatigue,1,6,64,48
200.jpeg,64,32,Non-RightEyeFatigue,8,2,61,28
200.jpeg,64,32,LeftEyeFatigue,6,6,61,32
201.jpeg,64,64,MouthFatigue,1,6,63,57
201.jpeg,64,32,RightEyeFatigue,3,6,54,32
201.jpeg,64,32,Non-LeftEyeFatigue,6,5,57,32
201.jpeg,64,64,Non-MouthFatigue,1,7,64,46
201.jpeg,64,32,Non-RightEyeFatigue,3,2,58,31
201.jpeg,64,32,LeftEyeFatigue,4,1,64,31
202.jpeg,64,64,MouthFatigue,1,4,64,58
202.jpeg,64,32,RightEyeFatigue,3,3,64,29
202.jpeg,64,32,Non-LeftEyeFatigue,8,6,58,32
202.jpeg,64,64,Non-MouthFatigue,1,6,64,50
202.jpeg,64,32,Non-RightEyeFatigue,6,5,58,29
202.jpeg,64,32,LeftEyeFatigue,8,5,61,32
203.jpeg,64,64,MouthFatigue,1,8,64,54
203.jpeg,64,32,RightEyeFatigue,1,7,55,32
203.jpeg,64,32,Non-LeftEyeFatigue,7,3,58,32
203.jpeg,64,64,Non-MouthFatigue,1,5,64,50
203.jpeg,64,32,Non-RightEyeFatigue,6,7,56,30
203.jpeg,64,32,LeftEyeFatigue,7,3,58,32
204.jpeg,64,64,MouthFatigue,1,7,64,55
204.jpeg,64,32,RightEyeFatigue,4,5,64,30
204.jpeg,64,32,Non-LeftEyeFatigue,6,5,58,32
204.jpeg,64,64,Non-MouthFatigue,1,4,64,44
204.jpeg,64,32,Non-RightEyeFatigue,7,4,57,28
204.jpeg,64,32,LeftEyeFatigue,12,6,63,31
205.jpeg,64,64,MouthFatigue,1,7,64,59
205.jpeg,64,32,RightEyeFatigue,1,8,52,32
205.jpeg,64,32,Non-LeftEyeFatigue,5,3,58,32
205.jpeg,64,64,Non-MouthFatigue,1,5,64,49
205.jpeg,64,32,Non-RightEyeFatigue,7,4,58,29
205.jpeg,64,32,LeftEyeFatigue,2,2,63,32
206.jpeg,64,64,MouthFatigue,1,4,64,52
206.jpeg,64,32,RightEyeFatigue,5,1,64,24
206.jpeg,64,32,Non-LeftEyeFatigue,5,4,60,32
206.jpeg,64,64,Non-MouthFatigue,1,4,64,47
206.jpeg,64,32,Non-RightEyeFatigue,6,5,60,29
206.jpeg,64,32,LeftEyeFatigue,8,4,63,32
207.jpeg,64,64,MouthFatigue,1,4,64,56
207.jpeg,64,32,RightEyeFatigue,1,4,53,32
207.jpeg,64,32,Non-LeftEyeFatigue,4,5,58,32
207.jpeg,64,64,Non-MouthFatigue,1,4,64,50
207.jpeg,64,32,Non-RightEyeFatigue,8,4,58,29
207.jpeg,64,32,LeftEyeFatigue,1,1,64,29
208.jpeg,64,64,MouthFatigue,1,8,64,57
208.jpeg,64,32,RightEyeFatigue,1,5,57,32
208.jpeg,64,32,Non-LeftEyeFatigue,5,5,57,32
208.jpeg,64,64,Non-MouthFatigue,1,3,64,51
208.jpeg,64,32,Non-RightEyeFatigue,7,3,57,30
208.jpeg,64,32,LeftEyeFatigue,4,4,59,32
209.jpeg,64,64,MouthFatigue,1,10,64,56
209.jpeg,64,32,RightEyeFatigue,5,1,64,29
209.jpeg,64,32,Non-LeftEyeFatigue,5,5,58,31
209.jpeg,64,64,Non-MouthFatigue,1,3,64,50
209.jpeg,64,32,Non-RightEyeFatigue,4,3,59,29
209.jpeg,64,32,LeftEyeFatigue,11,7,61,32
21.jpeg,64,64,MouthFatigue,1,6,64,47
21.jpeg,64,32,RightEyeFatigue,10,8,59,32
21.jpeg,64,32,Non-LeftEyeFatigue,8,4,56,31
21.jpeg,64,64,Non-MouthFatigue,1,3,64,46
21.jpeg,64,32,Non-RightEyeFatigue,9,6,56,29
21.jpeg,64,32,LeftEyeFatigue,3,5,55,32
210.jpeg,64,64,MouthFatigue,1,5,64,55
210.jpeg,64,32,RightEyeFatigue,3,1,64,24
210.jpeg,64,32,Non-LeftEyeFatigue,4,6,58,32
210.jpeg,64,64,Non-MouthFatigue,1,3,64,43
210.jpeg,64,32,Non-RightEyeFatigue,5,3,60,29
210.jpeg,64,32,LeftEyeFatigue,16,11,64,31
211.jpeg,64,64,MouthFatigue,1,5,64,56
211.jpeg,64,32,RightEyeFatigue,1,6,59,31
211.jpeg,64,32,Non-LeftEyeFatigue,3,4,59,30
211.jpeg,64,64,Non-MouthFatigue,1,3,64,49
211.jpeg,64,32,Non-RightEyeFatigue,3,4,59,29
211.jpeg,64,32,LeftEyeFatigue,1,5,64,31
212.jpeg,64,64,MouthFatigue,1,5,64,54
212.jpeg,64,32,RightEyeFatigue,8,2,64,26
212.jpeg,64,32,Non-LeftEyeFatigue,5,5,60,30
212.jpeg,64,64,Non-MouthFatigue,1,3,64,45
212.jpeg,64,32,Non-RightEyeFatigue,5,4,60,29
212.jpeg,64,32,LeftEyeFatigue,12,5,63,32
213.jpeg,64,64,MouthFatigue,1,5,64,53
213.jpeg,64,32,RightEyeFatigue,3,6,57,32
213.jpeg,64,32,Non-LeftEyeFatigue,4,4,57,32
213.jpeg,64,64,Non-MouthFatigue,1,2,64,46
213.jpeg,64,32,Non-RightEyeFatigue,6,7,59,29
213.jpeg,64,32,LeftEyeFatigue,1,3,60,32
214.jpeg,64,64,MouthFatigue,1,8,64,50
214.jpeg,64,32,RightEyeFatigue,8,6,55,32
214.jpeg,64,32,Non-LeftEyeFatigue,5,4,59,32
214.jpeg,64,64,Non-MouthFatigue,1,3,64,49
214.jpeg,64,32,Non-RightEyeFatigue,4,4,60,27
214.jpeg,64,32,LeftEyeFatigue,4,5,64,30
215.jpeg,64,64,MouthFatigue,1,10,63,50
215.jpeg,64,32,RightEyeFatigue,5,3,64,30
215.jpeg,64,32,Non-LeftEyeFatigue,5,2,62,32
215.jpeg,64,64,Non-MouthFatigue,1,3,64,44
215.jpeg,64,32,Non-RightEyeFatigue,6,5,58,29
215.jpeg,64,32,LeftEyeFatigue,11,5,61,32
216.jpeg,64,64,MouthFatigue,1,5,64,54
216.jpeg,64,32,RightEyeFatigue,6,4,58,32
216.jpeg,64,32,Non-LeftEyeFatigue,4,4,59,32
216.jpeg,64,64,Non-MouthFatigue,1,2,64,47
216.jpeg,64,32,Non-RightEyeFatigue,5,5,59,27
216.jpeg,64,32,LeftEyeFatigue,5,4,62,32
217.jpeg,64,64,MouthFatigue,1,5,64,49
217.jpeg,64,32,RightEyeFatigue,1,4,56,32
217.jpeg,64,32,Non-LeftEyeFatigue,6,5,59,32
217.jpeg,64,64,Non-MouthFatigue,1,2,64,44
217.jpeg,64,32,Non-RightEyeFatigue,8,6,57,27
217.jpeg,64,32,LeftEyeFatigue,7,4,58,32
218.jpeg,64,64,MouthFatigue,1,7,64,55
218.jpeg,64,32,RightEyeFatigue,2,8,56,32
218.jpeg,64,32,Non-LeftEyeFatigue,5,3,61,32
218.jpeg,64,64,Non-MouthFatigue,1,4,64,53
218.jpeg,64,32,Non-RightEyeFatigue,7,6,61,31
218.jpeg,64,32,LeftEyeFatigue,2,4,59,32
219.jpeg,64,64,MouthFatigue,1,9,64,54
219.jpeg,64,32,RightEyeFatigue,5,3,64,30
219.jpeg,64,32,Non-LeftEyeFatigue,6,3,56,32
219.jpeg,64,64,Non-MouthFatigue,1,3,64,52
219.jpeg,64,32,Non-RightEyeFatigue,4,4,60,31
219.jpeg,64,32,LeftEyeFatigue,7,6,60,32
22.jpeg,64,64,MouthFatigue,1,6,64,49
22.jpeg,64,32,RightEyeFatigue,15,9,62,32
22.jpeg,64,32,Non-LeftEyeFatigue,8,4,58,30
22.jpeg,64,64,Non-MouthFatigue,1,2,64,45
22.jpeg,64,32,Non-RightEyeFatigue,8,7,59,32
22.jpeg,64,32,LeftEyeFatigue,8,4,56,32
220.jpeg,64,64,MouthFatigue,1,6,64,54
220.jpeg,64,32,RightEyeFatigue,6,4,56,32
220.jpeg,64,32,Non-LeftEyeFatigue,5,5,58,32
220.jpeg,64,64,Non-MouthFatigue,1,2,64,46
220.jpeg,64,32,Non-RightEyeFatigue,6,3,60,29
220.jpeg,64,32,LeftEyeFatigue,6,4,59,32
221.jpeg,64,64,MouthFatigue,1,7,64,52
221.jpeg,64,32,RightEyeFatigue,6,4,63,32
221.jpeg,64,32,Non-LeftEyeFatigue,5,3,57,32
221.jpeg,64,64,Non-MouthFatigue,1,2,64,50
221.jpeg,64,32,Non-RightEyeFatigue,3,6,61,29
221.jpeg,64,32,LeftEyeFatigue,8,4,60,32
222.jpeg,64,64,MouthFatigue,1,7,64,57
222.jpeg,64,32,RightEyeFatigue,8,5,58,32
222.jpeg,64,32,Non-LeftEyeFatigue,4,3,60,32
222.jpeg,64,64,Non-MouthFatigue,1,3,64,48
222.jpeg,64,32,Non-RightEyeFatigue,6,2,58,26
222.jpeg,64,32,LeftEyeFatigue,4,5,62,31
223.jpeg,64,64,MouthFatigue,1,10,64,56
223.jpeg,64,32,RightEyeFatigue,5,4,64,31
223.jpeg,64,32,Non-LeftEyeFatigue,4,3,57,32
223.jpeg,64,64,Non-MouthFatigue,1,2,64,45
223.jpeg,64,32,Non-RightEyeFatigue,7,5,61,32
223.jpeg,64,32,LeftEyeFatigue,7,4,58,32
224.jpeg,64,64,MouthFatigue,1,12,64,52
224.jpeg,64,32,RightEyeFatigue,8,1,64,27
224.jpeg,64,32,Non-LeftEyeFatigue,4,4,62,32
224.jpeg,64,64,Non-MouthFatigue,1,5,64,52
224.jpeg,64,32,Non-RightEyeFatigue,9,5,57,28
224.jpeg,64,32,LeftEyeFatigue,6,3,62,32
225.jpeg,64,64,MouthFatigue,1,10,64,51
225.jpeg,64,32,RightEyeFatigue,2,4,58,32
225.jpeg,64,32,Non-LeftEyeFatigue,4,3,60,32
225.jpeg,64,64,Non-MouthFatigue,1,4,64,55
225.jpeg,64,32,Non-RightEyeFatigue,6,6,58,31
225.jpeg,64,32,LeftEyeFatigue,5,1,61,32
226.jpeg,64,64,MouthFatigue,1,9,64,53
226.jpeg,64,32,RightEyeFatigue,7,2,64,30
226.jpeg,64,32,Non-LeftEyeFatigue,4,1,60,32
226.jpeg,64,64,Non-MouthFatigue,1,5,64,48
226.jpeg,64,32,Non-RightEyeFatigue,5,4,58,30
226.jpeg,64,32,LeftEyeFatigue,6,1,63,32
227.jpeg,64,64,MouthFatigue,1,9,64,52
227.jpeg,64,32,RightEyeFatigue,2,3,64,31
227.jpeg,64,32,Non-LeftEyeFatigue,3,2,57,32
227.jpeg,64,64,Non-MouthFatigue,1,6,64,48
227.jpeg,64,32,Non-RightEyeFatigue,3,4,58,31
227.jpeg,64,32,LeftEyeFatigue,5,1,59,31
228.jpeg,64,64,MouthFatigue,1,10,64,54
228.jpeg,64,32,RightEyeFatigue,7,2,61,32
228.jpeg,64,32,Non-LeftEyeFatigue,3,2,60,32
228.jpeg,64,64,Non-MouthFatigue,1,5,64,54
228.jpeg,64,32,Non-RightEyeFatigue,4,5,61,30
228.jpeg,64,32,LeftEyeFatigue,8,2,63,32
229.jpeg,64,64,MouthFatigue,1,12,64,56
229.jpeg,64,32,RightEyeFatigue,1,3,59,32
229.jpeg,64,32,Non-LeftEyeFatigue,3,2,58,32
229.jpeg,64,64,Non-MouthFatigue,1,5,64,55
229.jpeg,64,32,Non-RightEyeFatigue,2,4,57,32
229.jpeg,64,32,LeftEyeFatigue,6,1,55,32
23.jpeg,64,64,MouthFatigue,1,5,64,48
23.jpeg,64,32,RightEyeFatigue,10,11,57,32
23.jpeg,64,32,Non-LeftEyeFatigue,5,4,57,32
23.jpeg,64,64,Non-MouthFatigue,1,5,64,47
23.jpeg,64,32,Non-RightEyeFatigue,7,6,57,29
23.jpeg,64,32,LeftEyeFatigue,6,3,54,30
230.jpeg,64,64,MouthFatigue,1,7,64,51
230.jpeg,64,32,RightEyeFatigue,1,6,55,32
230.jpeg,64,32,Non-LeftEyeFatigue,6,2,61,32
230.jpeg,64,64,Non-MouthFatigue,1,5,64,53
230.jpeg,64,32,Non-RightEyeFatigue,7,3,62,31
230.jpeg,64,32,LeftEyeFatigue,6,2,61,28
231.jpeg,64,64,MouthFatigue,1,6,64,50
231.jpeg,64,32,RightEyeFatigue,8,1,64,29
231.jpeg,64,32,Non-LeftEyeFatigue,3,3,58,32
231.jpeg,64,64,Non-MouthFatigue,1,6,64,53
231.jpeg,64,32,Non-RightEyeFatigue,5,5,55,29
231.jpeg,64,32,LeftEyeFatigue,13,4,63,32
232.jpeg,64,64,MouthFatigue,1,7,64,50
232.jpeg,64,32,RightEyeFatigue,2,4,54,32
232.jpeg,64,32,Non-LeftEyeFatigue,3,3,59,32
232.jpeg,64,64,Non-MouthFatigue,1,5,64,49
232.jpeg,64,32,Non-RightEyeFatigue,7,4,58,28
232.jpeg,64,32,LeftEyeFatigue,6,1,61,31
233.jpeg,64,64,MouthFatigue,1,7,64,48
233.jpeg,64,32,RightEyeFatigue,6,1,64,29
233.jpeg,64,32,Non-LeftEyeFatigue,3,3,59,31
233.jpeg,64,64,Non-MouthFatigue,1,6,64,51
233.jpeg,64,32,Non-RightEyeFatigue,4,3,58,29
233.jpeg,64,32,LeftEyeFatigue,10,3,62,32
234.jpeg,64,64,MouthFatigue,1,7,64,51
234.jpeg,64,32,RightEyeFatigue,7,4,58,32
234.jpeg,64,32,Non-LeftEyeFatigue,3,4,62,32
234.jpeg,64,64,Non-MouthFatigue,1,5,64,54
234.jpeg,64,32,Non-RightEyeFatigue,5,6,58,28
234.jpeg,64,32,LeftEyeFatigue,4,3,60,31
235.jpeg,64,64,MouthFatigue,1,6,64,50
235.jpeg,64,32,RightEyeFatigue,6,2,64,27
235.jpeg,64,32,Non-LeftEyeFatigue,3,3,59,32
235.jpeg,64,64,Non-MouthFatigue,1,5,64,52
235.jpeg,64,32,Non-RightEyeFatigue,5,5,59,30
235.jpeg,64,32,LeftEyeFatigue,14,6,59,32
236.jpeg,64,64,MouthFatigue,1,6,64,55
236.jpeg,64,32,RightEyeFatigue,1,6,54,32
236.jpeg,64,32,Non-LeftEyeFatigue,4,3,61,31
236.jpeg,64,64,Non-MouthFatigue,1,5,64,52
236.jpeg,64,32,Non-RightEyeFatigue,5,5,62,29
236.jpeg,64,32,LeftEyeFatigue,1,1,63,30
237.jpeg,64,64,MouthFatigue,1,8,64,54
